name,activity,inside,nature,photo,cafe
한라산둘레길 수악길,1,0,1,1,0
한라산사라오름 산정호수,0,0,1,1,0
한라생태숲,0,0,1,1,0
한라수목원,0,1,1,1,0
한림공원,0,0,1,1,0
한림공원 협재굴,1,1,1,0,0
항파두리 항몽유적지,0,0,1,1,0
허니문하우스,0,1,1,1,1
헤이브라더,1,1,0,1,1
협재해수욕장,1,0,1,1,0
형제섬,0,0,1,1,0
호랑호랑,0,1,1,1,1
혼인지,0,0,1,1,0
화순곶자왈,1,0,1,1,0
화순금모래해수욕장,1,0,1,1,0
황우지해안,1,0,1,1,0
황우지해안열두굴,1,0,1,0,0
